Frequency (Hz)	Level (dB)
1121.072388	-70.225433
1122.418213	-68.648956
1123.764038	-70.098640
1125.109863	-69.589867
1126.455688	-68.432953
1127.801514	-69.509613
1129.147339	-73.697197
1130.493164	-77.763031
1131.838989	-75.780556
1133.184814	-68.468719
1134.530640	-69.634804
1135.876465	-79.442596
1137.222290	-72.670662
1138.568115	-67.261963
1139.913940	-80.276749
1141.259766	-72.767128
1142.605591	-74.378647
1143.951416	-71.058647
1145.297241	-70.812416
1146.643066	-74.540840
1147.988892	-76.505844
1149.334717	-73.137589
1150.680542	-76.686554
1152.026367	-71.494064
1153.372192	-76.893028
1154.718018	-88.559998
1156.063843	-76.678055
1157.409668	-77.671921
1158.755493	-85.496399
1160.101318	-87.686714
1161.447144	-86.631912
1162.792969	-94.966194
1164.138794	-107.221054
1165.484619	-90.528275
1166.830444	-87.402573
1168.176270	-83.924294
1169.522095	-81.980003
1170.867920	-80.794128
1172.213745	-75.431602
1173.559570	-75.714432
1174.905396	-88.504036
1176.251221	-90.176666
1177.597046	-79.408302
1178.942871	-77.110413
1180.288696	-77.769775
1181.634521	-81.154556
1182.980347	-81.512009
1184.326172	-77.802193
1185.671997	-77.871475
1187.017822	-85.766792
1188.363647	-80.419022
1189.709473	-76.605217
1191.055298	-78.720680
1192.401123	-89.868179
1193.746948	-77.509781
1195.092773	-72.886856
1196.438599	-72.393669
1197.784424	-76.082672
1199.130249	-78.291786
1200.476074	-80.086624
1201.821899	-79.710114
1203.167725	-77.854141
1204.513550	-75.368141
1205.859375	-75.796806
1207.205200	-76.587677
1208.551025	-76.312958
1209.896851	-82.819466
1211.242676	-85.616577
1212.588501	-79.897514
1213.934326	-80.479683
1215.280151	-81.140038
1216.625977	-87.065536
1217.971802	-91.066612
1219.317627	-83.091660
1220.663452	-78.373871
1222.009277	-76.838860
1223.355103	-77.155510
1224.700928	-79.372131
1226.046753	-92.836311
1227.392578	-78.330864
1228.738403	-72.377289
1230.084229	-68.690323
1231.430054	-68.644264
1232.775879	-71.741501
1234.121704	-92.629578
1235.467529	-70.500526
1236.813354	-65.603592
1238.159180	-66.167267
1239.505005	-70.018738
1240.850830	-74.398544
1242.196655	-88.406837
1243.542480	-69.871216
1244.888306	-66.665421
1246.234131	-66.844536
1247.579956	-65.657524
1248.925781	-69.830658
1250.271606	-76.557625
1251.617432	-95.121002
1252.963257	-74.662102
1254.309082	-74.796852
1255.654907	-75.428101
1257.000732	-75.895332
1258.346558	-84.219818
1259.692383	-92.261215
1261.038208	-86.099182
1262.384033	-89.406380
1263.729858	-92.293358
1265.075684	-88.245346
1266.421509	-89.809769
1267.767334	-88.594299
1269.113159	-81.431793
1270.458984	-76.540176
1271.804810	-77.564926
1273.150635	-79.784782
1274.496460	-82.884567
1275.842285	-86.152969
1277.188110	-89.411232
1278.533936	-78.559380
1279.879761	-73.152824
1281.225586	-73.565041
1282.571411	-76.093208
1283.917236	-79.104523
1285.263062	-81.813370
1286.608887	-81.613266
1287.954712	-77.520355
1289.300537	-71.596848
1290.646362	-71.635864
1291.992188	-79.635231
1293.338013	-91.719398
1294.683838	-100.809158
1296.029663	-93.831146
1297.375488	-83.947578
1298.721313	-89.252594
1300.067139	-83.285393
1301.412964	-83.757103
1302.758789	-84.998322
1304.104614	-85.289131
1305.450439	-85.988609
1306.796265	-87.545822
1308.142090	-93.790947
1309.487915	-99.211830
1310.833740	-98.241714
1312.179565	-111.986862
1313.525391	-100.003731
1314.871216	-90.603409
1316.217041	-86.378586
1317.562866	-86.178093
1318.908691	-89.190353
1320.254517	-87.572990
1321.600342	-90.590477
1322.946167	-97.273201
1324.291992	-97.382133
1325.637817	-88.168602
1326.983643	-83.367699
1328.329468	-79.670776
1329.675293	-79.019592
1331.021118	-81.185966
1332.366943	-88.501831
1333.712769	-90.426437
1335.058594	-92.704575
1336.404419	-87.901505
1337.750244	-79.912056
1339.096069	-83.798973
1340.441895	-93.912720
1341.787720	-105.025993
1343.133545	-88.408928
1344.479370	-90.174881
1345.825195	-92.192513
1347.171021	-85.130486
1348.516846	-86.047150
1349.862671	-87.000198
1351.208496	-86.890671
1352.554321	-84.542664
1353.900146	-84.735809
1355.245972	-85.711197
1356.591797	-87.117805
1357.937622	-91.632828
1359.283447	-92.416077
1360.629272	-95.063210
1361.975098	-92.823692
1363.320923	-92.688103
1364.666748	-98.163818
1366.012573	-97.302795
1367.358398	-95.006027
1368.704224	-97.594521
1370.050049	-89.724937
1371.395874	-93.956970
1372.741699	-93.753471
1374.087524	-86.517906
1375.433350	-84.433685
1376.779175	-88.829063
1378.125000	-87.713646
1379.470825	-83.096046
1380.816650	-83.197113
1382.162476	-83.139572
1383.508301	-86.127380
1384.854126	-91.399742
1386.199951	-92.991402
1387.545776	-87.402679
1388.891602	-99.987473
1390.237427	-92.125313
1391.583252	-83.901451
1392.929077	-81.791115
1394.274902	-82.099571
1395.620728	-82.450951
1396.966553	-82.095497
1398.312378	-82.191139
1399.658203	-86.614830
1401.004028	-87.200417
1402.349854	-90.236122
1403.695679	-85.343384
1405.041504	-84.622650
1406.387329	-90.110580
1407.733154	-89.987465
1409.078979	-91.278748
1410.424805	-103.972198
1411.770630	-105.098000
1413.116455	-96.294640
1414.462280	-96.115982
1415.808105	-102.406212
1417.153931	-95.561378
1418.499756	-101.746681
1419.845581	-102.786179
1421.191406	-99.315849
1422.537231	-91.372780
1423.883057	-87.584839
1425.228882	-91.819481
1426.574707	-92.871941
1427.920532	-83.104599
1429.266357	-83.747711
1430.612183	-79.872749
1431.958008	-81.038612
1433.303833	-89.579788
1434.649658	-89.087151
1435.995483	-95.282928
1437.341309	-108.888420
1438.687134	-96.986046
1440.032959	-91.317131
1441.378784	-89.031876
1442.724609	-79.303772
1444.070435	-78.084854
1445.416260	-79.941566
1446.762085	-85.649895
1448.107910	-91.183632
1449.453735	-92.034729
1450.799561	-96.206459
1452.145386	-102.030785
1453.491211	-89.741867
1454.837036	-87.150673
1456.182861	-93.542198
1457.528687	-99.319008
1458.874512	-95.357964
1460.220337	-91.354408
1461.566162	-94.602043
1462.911987	-91.989861
1464.257812	-97.651718
1465.603638	-101.613770
1466.949463	-91.012726
1468.295288	-91.692848
1469.641113	-102.531288
1470.986938	-93.333275
1472.332764	-94.076111
1473.678589	-85.686638
1475.024414	-84.918449
1476.370239	-83.372536
1477.716064	-86.802116
1479.061890	-84.486504
1480.407715	-84.241730
1481.753540	-89.715393
1483.099365	-82.914749
1484.445190	-105.475456
1485.791016	-80.335083
1487.136841	-90.058708
1488.482666	-79.069290
1489.828491	-74.488113
1491.174316	-74.111053
1492.520142	-83.157639
1493.865967	-84.346603
1495.211792	-86.467018
1496.557617	-84.393845
1497.903442	-81.600594
1499.249268	-76.330132
1500.595093	-76.755905
1501.940918	-77.861580
1503.286743	-78.986229
1504.632568	-89.273666
1505.978394	-95.253273
1507.324219	-93.104668
1508.670044	-91.274582
1510.015869	-94.031952
1511.361694	-90.901962
1512.707520	-102.131516
1514.053345	-97.837952
1515.399170	-102.912201
1516.744995	-98.075562
1518.090820	-91.080032
1519.436646	-94.847588
1520.782471	-93.611702
1522.128296	-84.063828
1523.474121	-79.409401
1524.819946	-76.949646
1526.165771	-78.634048
1527.511597	-89.047554
1528.857422	-90.099098
1530.203247	-91.149857
